aX,aY,aZ,gX,gY,gZ
0.068,0.022,0.955,-3.479,-5.066,8.545
0.068,0.021,0.955,-3.601,-5.310,8.179
0.060,0.022,0.948,-3.906,-5.432,7.751
0.055,0.022,0.947,-3.906,-4.639,7.385
0.054,0.030,0.940,-3.662,-3.174,7.324
0.055,0.036,0.933,-2.930,-0.854,7.202
0.054,0.042,0.943,-2.014,0.793,7.019
0.057,0.041,0.958,-1.221,0.488,7.080
0.055,0.038,0.958,-0.854,-0.854,7.507
0.049,0.029,0.956,-1.221,-2.686,7.874
0.048,0.025,0.952,-1.404,-3.967,8.484
0.045,0.024,0.940,-1.221,-3.784,9.033
0.044,0.027,0.937,-0.488,-3.296,8.972
0.050,0.036,0.931,0.610,-2.014,9.155
0.051,0.039,0.932,2.075,-0.793,8.911
0.051,0.035,0.932,2.869,-0.610,8.911
0.047,0.031,0.927,2.563,0.061,9.094
0.047,0.031,0.920,1.526,0.244,9.460
0.051,0.028,0.920,0.061,0.183,9.766
0.058,0.017,0.934,-1.160,-0.488,10.315
0.061,-0.003,0.948,-2.502,-1.099,10.986
0.058,-0.020,0.959,-4.150,-0.732,11.597
0.046,-0.043,0.966,-5.920,0.305,12.085
0.044,-0.083,0.992,-6.775,2.075,11.597
0.039,-0.162,1.057,-6.531,1.160,10.620
0.029,-0.315,1.163,-7.690,-5.310,9.460
-0.009,-0.535,1.257,-12.512,-15.503,8.118
-0.075,-0.791,1.330,-20.996,-25.574,5.859
-0.171,-1.069,1.361,-31.067,-34.241,3.174
-0.265,-1.397,1.310,-37.842,-35.522,1.526
-0.342,-1.726,1.251,-38.635,-21.667,1.404
-0.385,-2.021,1.208,-34.302,6.348,-0.916
-0.410,-2.199,1.184,-25.513,42.175,-7.812
-0.397,-2.236,1.211,-14.404,77.515,-20.020
-0.351,-2.196,1.272,-1.709,105.774,-36.804
-0.359,-2.136,1.348,10.681,119.385,-57.922
-0.372,-2.002,1.404,22.278,116.394,-83.496
-0.416,-1.777,1.457,30.151,88.135,-110.840
-0.543,-1.521,1.390,32.288,37.964,-137.329
-0.682,-1.210,1.274,28.015,-16.418,-163.757
-0.845,-0.811,1.091,16.174,-66.040,-189.026
-0.819,-0.228,0.836,3.296,-93.689,-213.745
-0.736,0.348,0.635,1.465,-98.938,-234.802

-0.645,1.355,0.517,30.029,-91.675,-268.127
-0.607,1.550,0.503,34.912,-94.177,-272.034
-0.609,1.865,0.475,33.997,-111.755,-269.836
-0.671,2.082,0.384,18.066,-137.146,-255.066
-0.687,2.265,0.198,-4.578,-153.198,-226.807
-0.585,2.344,0.005,-20.386,-141.113,-186.768
-0.393,2.282,-0.056,-21.179,-98.389,-142.029
-0.155,2.132,0.084,-9.583,-43.823,-101.440
0.105,1.911,0.313,3.723,0.854,-68.604
0.313,1.672,0.523,13.245,26.733,-44.983
0.451,1.448,0.676,18.188,33.447,-29.541
0.524,1.241,0.756,18.188,28.992,-18.799
0.544,1.066,0.786,15.076,21.240,-10.071
0.519,0.913,0.812,11.292,15.137,-2.869
0.468,0.775,0.837,8.057,11.475,2.258
0.401,0.671,0.885,4.150,7.324,6.348
0.338,0.609,0.925,-0.549,1.587,10.986
0.279,0.575,0.944,-3.784,-3.967,16.907
0.209,0.545,0.938,-3.235,-7.141,23.926
0.154,0.515,0.937,1.587,-6.836,30.518
0.111,0.481,0.929,9.644,-3.662,35.889
0.066,0.432,0.938,19.043,0.610,39.978
0.046,0.377,0.899,25.146,3.052,42.358
0.020,0.346,0.879,29.785,10.315,45.837
0.004,0.286,0.892,30.457,16.663,48.218
0.034,0.243,0.884,26.428,20.386,49.683
0.051,0.216,0.902,20.203,22.278,51.819
0.055,0.191,0.920,12.695,20.325,53.162
0.063,0.177,0.903,6.042,17.517,52.124
0.085,0.174,0.896,1.709,15.076,50.110
0.104,0.171,0.907,-1.282,12.878,48.706
0.121,0.164,0.888,-3.418,11.108,46.875
0.119,0.191,0.939,1.038,16.479,45.898
0.121,0.152,1.010,2.747,15.747,43.030
0.137,0.147,0.987,4.333,9.827,39.917
0.101,0.130,1.011,9.521,6.470,37.354
0.059,0.106,1.015,13.367,4.517,34.424
0.050,0.105,0.995,15.442,4.333,31.555
0.046,0.100,0.969,17.029,4.517,30.579
0.037,0.097,0.934,17.700,4.272,31.616
0.027,0.083,0.903,16.479,4.822,34.058
0.018,0.060,0.888,12.939,7.202,37.537
0.020,0.028,0.895,7.263,10.803,40.039
0.043,0.019,0.911,1.709,13.062,41.016
0.069,0.014,0.936,-3.052,13.245,40.771
0.091,0.011,0.941,-5.676,11.597,39.612
0.102,0.013,0.963,-5.798,8.728,38.391
0.109,0.001,0.960,-4.883,5.188,36.987
0.101,-0.016,0.947,-2.686,3.540,34.912
0.093,-0.029,0.929,0.244,3.967,31.250
0.107,-0.029,0.948,2.625,4.639,28.442
0.116,-0.033,0.970,3.113,3.052,27.649
0.104,-0.042,0.969,1.343,-0.427,28.076
0.089,-0.039,0.959,-1.465,-2.686,28.687
0.089,-0.042,0.952,-4.028,-3.723,28.992
0.079,-0.041,0.937,-5.493,-3.296,29.297
0.072,-0.033,0.927,-5.737,-1.221,28.992
0.082,-0.017,0.917,-4.944,2.747,28.625
0.089,-0.001,0.911,-3.235,6.470,28.442
0.096,-0.002,0.926,-1.648,9.827,28.137
0.117,0.006,0.936,-0.854,11.536,26.855
0.126,0.007,0.942,-0.244,11.963,24.658
0.139,0.013,0.952,-0.183,11.292,22.217
0.134,0.017,0.958,-1.099,8.484,19.653
0.124,0.021,0.946,-3.052,4.272,17.090
0.111,0.020,0.943,-5.249,1.282,15.198
0.093,0.024,0.938,-7.751,-0.977,13.733
0.084,0.036,0.922,-10.193,-2.136,13.000
0.082,0.052,0.892,-11.414,-1.099,13.550
0.077,0.055,0.881,-11.414,2.441,15.503
0.078,0.058,0.877,-11.169,6.897,17.761
0.080,0.051,0.882,-10.925,11.475,19.897
0.085,0.043,0.899,-11.108,14.832,21.545
0.092,0.030,0.911,-11.719,17.029,22.156
0.095,0.022,0.937,-12.573,17.273,21.912
0.108,0.009,0.967,-14.099,14.587,21.118
0.112,0.007,0.970,-15.503,10.437,19.653
0.103,0.003,0.958,-15.625,6.287,18.127
0.090,-0.006,0.955,-15.503,2.502,16.968
0.075,-0.007,0.942,-15.625,0.122,16.479
0.066,0.002,0.932,-15.015,-0.549,16.846
0.059,-0.002,0.917,-13.489,0.916,17.578
0.043,-0.014,0.901,-11.230,5.676,18.372
0.038,-0.017,0.918,-9.155,9.521,18.188
0.047,-0.014,0.932,-7.935,11.169,17.761
0.055,-0.017,0.937,-7.263,11.597,18.005
0.059,-0.024,0.949,-7.080,10.620,18.066
0.056,-0.033,0.948,-6.897,9.277,17.517
0.051,-0.043,0.954,-6.531,7.935,16.541
0.052,-0.044,0.949,-6.348,6.470,15.320
0.055,-0.041,0.953,-6.409,4.700,14.709
0.055,-0.035,0.944,-6.226,2.930,14.587
0.045,-0.028,0.920,-5.310,2.930,15.137
0.033,-0.026,0.901,-3.357,5.127,15.564
0.031,-0.025,0.902,-1.343,8.850,16.052
0.033,-0.026,0.917,-0.122,12.878,16.541
0.036,-0.035,0.926,-0.183,15.015,17.212
0.036,-0.042,0.935,-1.221,15.259,17.639
0.045,-0.044,0.937,-2.808,13.977,17.029
0.045,-0.046,0.932,-3.906,11.536,15.991
0.038,-0.047,0.931,-4.883,9.216,14.954
0.037,-0.044,0.933,-5.615,7.141,13.855
0.035,-0.029,0.931,-6.226,5.188,13.489
0.032,-0.024,0.943,-6.226,3.418,13.855
0.028,-0.021,0.937,-5.859,1.404,14.343
0.015,-0.019,0.933,-4.944,0.549,14.587
0.016,-0.009,0.937,-3.906,1.343,14.526
0.020,0.002,0.931,-2.136,2.197,15.015
0.002,0.011,0.934,-0.183,2.625,16.296
0.001,0.018,0.936,1.038,3.540,17.334
0.008,0.010,0.927,2.136,4.944,18.616
0.004,-0.001,0.932,2.747,6.836,19.165
0.003,-0.003,0.943,2.563,8.789,18.372
0.014,-0.000,0.969,1.465,8.728,17.822
0.031,0.004,0.991,-0.366,6.897,17.883
0.040,0.016,1.010,-1.892,3.418,18.677
0.057,0.009,1.022,-3.052,-5.920,19.897
0.060,0.009,1.021,-5.371,-13.245,22.156
0.046,0.013,0.984,-6.897,-18.188,23.682
0.034,0.015,0.961,-7.080,-22.583,24.658
0.004,0.021,0.946,-6.348,-24.780,25.574
-0.017,0.020,0.925,-4.333,-22.034,26.489
-0.021,0.010,0.901,-1.465,-15.686,26.978
-0.021,-0.003,0.892,2.625,-7.996,27.344
-0.014,-0.014,0.900,6.409,-0.244,27.588
-0.003,-0.018,0.900,9.399,5.920,27.710
0.007,-0.012,0.910,11.536,10.254,27.893
0.017,-0.006,0.912,12.939,13.062,28.137
0.023,-0.014,0.913,13.977,14.343,28.320
0.032,-0.025,0.917,14.099,13.184,28.198
0.041,-0.035,0.934,12.573,10.925,28.076
0.047,-0.037,0.955,9.521,6.714,27.771
0.045,-0.036,0.951,6.165,0.061,27.283
0.047,-0.024,0.934,3.174,-4.211,26.855
0.042,-0.007,0.918,1.282,-4.028,26.489
0.042,-0.002,0.898,0.854,-3.052,25.818
0.027,-0.002,0.885,1.770,-1.343,25.208
0.014,-0.008,0.889,2.502,1.587,24.170
0.005,-0.014,0.893,2.686,3.662,22.522
0.006,-0.010,0.906,1.587,4.456,21.240
0.007,-0.003,0.919,-0.549,3.540,20.996
0.005,0.002,0.927,-2.502,0.183,21.667
-0.007,0.001,0.919,-4.150,-2.747,22.705
-0.017,-0.005,0.903,-4.883,-3.418,23.560
-0.015,-0.001,0.906,-5.127,-3.052,23.865
-0.013,0.007,0.905,-5.249,-2.380,23.804
-0.006,0.016,0.923,-4.822,-2.563,24.170
0.006,0.008,0.950,-4.456,-3.967,24.414
0.007,-0.005,0.967,-4.395,-5.859,23.987
-0.001,-0.007,0.975,-4.517,-6.775,22.888
-0.001,0.007,0.965,-4.211,-5.798,21.851
-0.008,0.009,0.957,-2.808,-2.625,20.996
-0.033,-0.008,0.942,-1.160,2.075,19.897
-0.043,-0.021,0.961,-0.854,7.080,17.273
-0.024,-0.008,0.992,-3.174,9.399,14.160
-0.013,0.010,1.010,-6.897,8.362,12.756
-0.014,0.018,1.000,-10.254,4.517,12.573
-0.021,0.013,0.952,-11.230,1.282,12.329
-0.036,-0.000,0.925,-10.010,1.038,11.658
-0.025,-0.002,0.910,-7.935,1.526,10.437
-0.016,-0.026,0.896,-6.531,2.991,9.705
-0.057,-0.048,0.885,-6.653,4.395,8.240
-0.082,-0.051,0.872,-7.324,4.883,4.028
-0.081,-0.038,0.871,-7.019,6.653,0.366
-0.090,-0.029,0.855,-5.188,10.925,-2.625
-0.116,-0.013,0.812,-1.282,22.461,-6.897
-0.130,-0.013,0.830,4.761,32.349,-12.756
-0.075,0.022,0.875,8.850,34.363,-18.555
-0.013,0.067,0.912,11.047,33.813,-19.226
-0.011,0.086,0.954,12.573,28.809,-15.869
-0.035,0.074,0.929,13.428,22.339,-12.573
-0.044,0.064,0.893,16.235,26.550,-9.644
-0.030,0.064,0.937,19.592,35.217,-6.348
-0.014,0.066,1.010,20.142,39.001,-1.526
-0.006,0.073,1.060,18.372,31.860,2.747
0.015,0.062,1.100,14.832,16.724,7.080
0.015,0.048,1.106,9.338,-1.343,10.986
0.005,0.027,1.084,3.662,-19.165,12.024
-0.017,0.013,1.045,-0.732,-34.790,9.521
0.012,-0.032,1.049,-3.662,-47.180,4.395
