aX,aY,aZ,gX,gY,gZ
0.230,0.052,1.120,-3.540,26.428,23.315
0.230,0.029,1.147,-13.123,15.381,20.325
0.216,0.038,1.165,-20.203,3.357,16.418
0.217,0.047,1.136,-23.560,-6.470,12.451
0.193,0.060,1.098,-21.118,-10.132,9.949
0.174,0.072,1.059,-15.991,-7.629,8.362
0.161,0.107,1.016,-9.521,-2.563,7.874
0.146,0.125,0.969,-1.709,3.845,9.460
0.123,0.129,0.943,5.615,12.939,11.353
0.117,0.121,0.945,9.644,22.522,12.756
0.130,0.121,0.956,9.949,28.198,14.282
0.140,0.100,1.002,6.653,28.748,15.869
0.146,0.075,1.034,0.244,22.766,16.541
0.137,0.055,1.048,-6.897,14.343,15.198
0.125,0.055,1.038,-11.902,7.141,12.390
0.115,0.073,1.031,-13.245,2.136,9.644
0.116,0.082,1.008,-11.719,1.587,8.545
0.097,0.078,0.982,-8.362,3.540,8.423
0.091,0.076,0.979,-5.127,6.714,8.057
0.093,0.070,0.968,-3.052,10.071,8.301
0.093,0.062,0.975,-1.404,12.573,9.460
0.082,0.048,0.977,-1.038,13.245,10.010
0.078,0.038,0.979,-1.709,14.893,10.315
0.083,0.026,0.991,-2.808,15.686,9.888
0.082,0.024,1.003,-5.249,14.343,8.972
0.077,0.028,1.002,-6.958,13.550,8.057
0.070,0.041,0.994,-7.507,12.085,6.836
0.075,0.049,0.987,-6.470,9.888,6.226
0.062,0.045,0.978,-5.188,9.155,5.798
0.061,0.048,0.972,-4.272,9.644,5.066
0.050,0.049,0.972,-3.723,8.850,4.517
0.040,0.045,0.968,-3.662,7.935,4.028
0.044,0.048,0.979,-4.395,7.324,3.662
0.038,0.056,0.978,-5.981,4.150,3.906
0.034,0.051,0.976,-7.202,1.587,4.333
0.028,0.045,0.984,-8.179,0.305,4.761
0.029,0.051,0.991,-8.240,-0.854,5.127
0.018,0.050,0.981,-7.080,-2.258,4.944
0.017,0.054,0.973,-5.310,-2.136,4.700
0.028,0.059,0.971,-2.991,-1.831,4.822
0.021,0.053,0.951,-1.526,-1.587,5.249
0.020,0.066,0.935,-0.427,0.183,5.310
0.020,0.063,0.937,0.366,2.136,6.287
0.023,0.055,0.922,0.549,3.418,7.202
0.036,0.060,0.901,0.916,6.165,8.118
0.035,0.052,0.902,1.709,8.911,8.606
0.035,0.051,0.914,1.709,11.047,8.606
0.047,0.043,0.917,1.099,10.986,8.606
0.040,0.032,0.920,0.427,9.583,8.423
0.040,0.031,0.924,-0.244,7.812,7.446
0.038,0.033,0.911,-0.427,6.592,7.019
0.034,0.033,0.896,0.488,7.263,6.653
0.043,0.028,0.879,2.686,10.437,6.470
0.040,0.021,0.885,5.920,14.648,6.470
0.033,0.013,0.906,8.057,17.090,5.676
0.031,0.016,0.914,8.667,16.418,4.761
0.013,0.014,0.918,8.362,14.160,3.601
0.001,0.030,0.938,6.287,9.583,2.502
0.006,0.045,0.941,4.089,5.432,1.526
0.007,0.058,0.937,2.197,2.991,1.831
0.007,0.065,0.940,0.854,1.343,2.563
0.021,0.071,0.933,-0.366,0.244,3.845
0.014,0.070,0.931,-0.854,-0.183,5.005
0.018,0.065,0.944,-1.526,0.122,5.249
0.022,0.062,0.957,-3.479,-0.305,5.615
0.033,0.061,0.977,-5.920,-2.197,6.104
0.035,0.070,0.996,-8.545,-3.845,7.568
0.029,0.058,1.003,-10.071,-7.080,8.301
0.022,0.058,0.999,-10.925,-8.972,8.179
0.019,0.053,1.005,-10.559,-10.071,7.080
0.025,0.055,1.010,-9.949,-10.986,6.226
0.030,0.057,1.015,-8.911,-11.963,6.226
0.033,0.053,1.015,-7.996,-13.977,7.019
0.026,0.047,1.007,-6.775,-15.137,7.812
0.023,0.038,0.984,-4.578,-13.123,8.057
0.023,0.035,0.977,-1.587,-8.240,7.568
0.029,0.040,0.980,1.221,-3.479,6.897
0.026,0.037,0.979,3.662,-0.305,6.714
0.024,0.042,0.972,6.042,1.587,6.470
0.027,0.047,0.962,8.240,3.174,6.470
0.021,0.042,0.951,10.010,5.615,6.653
0.021,0.040,0.945,11.169,7.690,6.165
0.021,0.035,0.933,11.536,10.437,5.188
0.026,0.035,0.938,10.620,11.292,4.211
0.027,0.032,0.944,8.179,9.338,3.723
0.025,0.031,0.951,4.456,6.287,3.662
0.024,0.033,0.942,0.183,2.625,3.601
0.016,0.042,0.945,-3.174,-0.793,3.601
0.010,0.052,0.936,-5.066,-1.892,3.784
0.003,0.060,0.925,-5.432,-1.465,3.906
0.008,0.055,0.918,-4.333,0.427,4.089
0.005,0.060,0.929,-2.258,2.808,4.883
0.009,0.065,0.937,-0.488,2.625,5.981
-0.001,0.060,0.926,1.404,1.404,7.202
-0.001,0.044,0.920,3.296,2.625,7.263
0.000,0.033,0.923,4.333,3.784,6.714
0.000,0.026,0.926,3.723,3.601,5.493
0.005,0.030,0.933,1.770,2.747,4.517
0.013,0.034,0.928,-0.305,0.793,4.150
0.002,0.032,0.927,-2.014,-1.099,4.456
0.005,0.041,0.919,-3.357,-0.854,4.395
-0.002,0.043,0.916,-3.540,-0.183,4.639
-0.007,0.042,0.908,-2.686,1.343,4.578
-0.011,0.043,0.920,-2.075,3.418,4.639
0.001,0.054,0.931,-1.648,4.272,4.883
0.004,0.050,0.936,-0.793,3.357,6.165
0.003,0.034,0.934,0.244,2.808,7.080
-0.005,0.026,0.933,0.488,2.991,6.714
0.008,0.035,0.949,0.061,2.502,5.920
0.014,0.036,0.937,-0.183,1.404,5.676
0.008,0.033,0.928,-0.183,0.916,5.554
0.011,0.037,0.915,-0.488,1.892,5.066
0.008,0.044,0.915,-0.671,3.418,4.517
0.016,0.051,0.922,-0.671,3.174,4.333
0.019,0.049,0.910,-0.732,2.563,4.700
0.005,0.042,0.908,-0.793,2.930,4.700
0.007,0.041,0.920,-1.282,3.174,3.967
0.010,0.032,0.937,-2.625,1.648,3.479
-0.001,0.035,0.949,-4.211,-1.160,3.113
0.007,0.036,0.951,-5.920,-3.723,2.441
-0.000,0.034,0.947,-6.836,-5.615,2.441
-0.011,0.040,0.947,-7.019,-6.470,2.502
-0.021,0.043,0.940,-6.409,-5.798,2.441
-0.006,0.047,0.919,-5.188,-3.052,2.502
-0.018,0.048,0.917,-3.540,-0.427,3.357
-0.020,0.046,0.921,-2.625,2.075,3.601
-0.014,0.049,0.927,-2.869,4.333,4.333
-0.011,0.037,0.936,-3.723,5.859,4.822
-0.006,0.042,0.951,-4.944,5.676,5.005
-0.002,0.044,0.954,-6.042,3.723,5.188
-0.006,0.037,0.955,-6.958,1.831,5.371
0.002,0.041,0.950,-6.531,-0.732,4.883
-0.015,0.033,0.944,-5.493,-2.441,4.395
-0.000,0.041,0.945,-4.578,-2.991,3.479
-0.002,0.040,0.940,-4.272,-3.601,3.357
-0.007,0.035,0.937,-3.601,-4.822,3.296
-0.011,0.028,0.941,-3.967,-5.676,3.235
-0.002,0.024,0.939,-5.127,-6.653,3.113
-0.010,0.026,0.931,-6.104,-7.507,3.723
-0.014,0.030,0.923,-6.531,-6.653,3.906
-0.006,0.026,0.922,-6.409,-5.371,3.967
-0.000,0.032,0.921,-6.042,-4.150,4.639
0.003,0.030,0.910,-5.066,-2.441,5.005
0.003,0.029,0.912,-4.150,-1.160,5.371
0.005,0.025,0.917,-3.723,-0.305,5.493
0.018,0.022,0.923,-3.113,0.488,5.554
0.021,0.021,0.923,-3.052,0.244,5.798
0.020,0.010,0.933,-3.662,-0.366,5.310
0.021,0.005,0.935,-4.517,-1.587,4.639
0.016,0.012,0.940,-5.676,-3.784,3.906
0.017,0.018,0.936,-6.287,-5.615,3.479
0.017,0.022,0.936,-6.042,-6.653,3.479
0.008,0.022,0.933,-5.432,-6.226,3.601
0.012,0.021,0.933,-4.578,-5.005,3.601
0.005,0.022,0.928,-3.601,-3.235,3.662
0.011,0.025,0.935,-2.869,-1.099,3.784
0.007,0.021,0.935,-2.136,0.549,4.517
0.002,0.019,0.943,-1.526,1.343,5.066
0.005,0.018,0.946,-1.282,1.526,5.371
-0.004,0.013,0.949,-1.038,1.160,5.493
-0.008,0.013,0.957,-1.038,0.122,5.310
0.004,0.016,0.961,-1.099,-0.610,5.432
-0.001,0.012,0.960,-0.977,-1.831,5.676
-0.000,0.008,0.960,-0.549,-2.563,5.432
0.001,0.003,0.952,-0.061,-2.502,4.944
-0.003,0.000,0.945,0.793,-1.709,4.578
-0.014,-0.003,0.944,1.587,-0.122,3.967
-0.004,0.003,0.952,2.014,0.305,3.418
-0.014,-0.003,0.943,2.075,-0.122,3.479
-0.008,0.002,0.950,2.014,0.061,3.418
